market,date,block,mcp_rs_mwh
DAM,2026-05-09,60,1760.26
DAM,2026-05-09,61,1985.89
DAM,2026-05-09,62,2072.12
DAM,2026-05-09,63,2045.81
DAM,2026-05-09,64,2197.74
DAM,2026-05-09,65,2100.36
DAM,2026-05-09,66,2214.14
DAM,2026-05-09,67,2429.98
DAM,2026-05-09,68,2509.42
DAM,2026-05-09,69,2551.46
DAM,2026-05-09,70,2750.78
DAM,2026-05-09,71,3359.54
DAM,2026-05-09,72,3646.69
DAM,2026-05-09,73,3630.77
DAM,2026-05-09,74,4299.75
DAM,2026-05-09,75,4919.75
DAM,2026-05-09,76,6100.03
DAM,2026-05-09,77,6715.41
DAM,2026-05-09,78,8999.38
DAM,2026-05-09,79,10000.0
DAM,2026-05-09,80,10000.0
DAM,2026-05-09,81,9499.3
DAM,2026-05-09,82,10000.0
DAM,2026-05-09,83,10000.0
DAM,2026-05-09,84,10000.0
DAM,2026-05-09,85,8999.75
DAM,2026-05-09,86,8999.54
DAM,2026-05-09,87,7091.4
DAM,2026-05-09,88,7091.06
DAM,2026-05-09,89,8999.71
DAM,2026-05-09,90,9999.75
DAM,2026-05-09,91,10000.0
DAM,2026-05-09,92,10000.0
DAM,2026-05-09,93,10000.0
DAM,2026-05-09,94,10000.0
DAM,2026-05-09,95,10000.0
DAM,2026-05-09,96,10000.0
DAM,2026-05-10,1,10000.0
DAM,2026-05-10,2,10000.0
DAM,2026-05-10,3,5999.73
DAM,2026-05-10,4,5499.09
DAM,2026-05-10,5,5400.04
DAM,2026-05-10,6,5100.93
DAM,2026-05-10,7,5400.4
DAM,2026-05-10,8,4937.01
DAM,2026-05-10,9,4919.82
DAM,2026-05-10,10,4819.99
DAM,2026-05-10,11,4769.74
DAM,2026-05-10,12,4539.56
DAM,2026-05-10,13,4199.89
DAM,2026-05-10,14,4113.04
DAM,2026-05-10,15,4034.58
DAM,2026-05-10,16,4000.05
DAM,2026-05-10,17,3849.41
DAM,2026-05-10,18,3996.89
DAM,2026-05-10,19,4000.16
DAM,2026-05-10,20,4000.2
DAM,2026-05-10,21,3600.92
DAM,2026-05-10,22,3759.41
DAM,2026-05-10,23,3790.79
DAM,2026-05-10,24,3569.58
DAM,2026-05-10,25,3470.44
DAM,2026-05-10,26,3391.89
DAM,2026-05-10,27,3250.88
DAM,2026-05-10,28,3200.48
DAM,2026-05-10,29,3000.25
DAM,2026-05-10,30,2140.3
DAM,2026-05-10,31,1593.69
DAM,2026-05-10,32,200.84
DAM,2026-05-10,33,200.66
DAM,2026-05-10,34,200.66
DAM,2026-05-10,35,200.68
DAM,2026-05-10,36,200.59
DAM,2026-05-10,37,200.85
DAM,2026-05-10,38,200.64
DAM,2026-05-10,39,200.58
DAM,2026-05-10,40,200.35
DAM,2026-05-10,41,200.43
DAM,2026-05-10,42,200.61
DAM,2026-05-10,43,200.67
DAM,2026-05-10,44,200.8
DAM,2026-05-10,45,200.62
DAM,2026-05-10,46,200.65
DAM,2026-05-10,47,200.7
DAM,2026-05-10,48,200.79
DAM,2026-05-10,49,200.71
DAM,2026-05-10,50,200.72
DAM,2026-05-10,51,200.64
DAM,2026-05-10,52,200.65
DAM,2026-05-10,53,200.43
DAM,2026-05-10,54,200.41
DAM,2026-05-10,55,200.43
DAM,2026-05-10,56,200.48
DAM,2026-05-10,57,200.48
DAM,2026-05-10,58,299.85
DAM,2026-05-10,59,1000.11
DAM,2026-05-10,60,1100.24
DAM,2026-05-10,61,1399.13
DAM,2026-05-10,62,1799.11
DAM,2026-05-10,63,1949.74
DAM,2026-05-10,64,2000.75
DAM,2026-05-10,65,1969.66
DAM,2026-05-10,66,1949.87
DAM,2026-05-10,67,1929.43
DAM,2026-05-10,68,1649.0
DAM,2026-05-10,69,1840.07
DAM,2026-05-10,70,1968.2
DAM,2026-05-10,71,2000.61
DAM,2026-05-10,72,2090.37
DAM,2026-05-10,73,3099.47
DAM,2026-05-10,74,3630.65
DAM,2026-05-10,75,4169.78
DAM,2026-05-10,76,4259.26
DAM,2026-05-10,77,4799.0
DAM,2026-05-10,78,4819.8
DAM,2026-05-10,79,4919.79
DAM,2026-05-10,80,5000.45
DAM,2026-05-10,81,4919.81
DAM,2026-05-10,82,5500.71
DAM,2026-05-10,83,5799.66
DAM,2026-05-10,84,5969.77
DAM,2026-05-10,85,5846.94
DAM,2026-05-10,86,5750.68
DAM,2026-05-10,87,5499.75
DAM,2026-05-10,88,5613.22
DAM,2026-05-10,89,5750.3
DAM,2026-05-10,90,6000.16
DAM,2026-05-10,91,6000.65
DAM,2026-05-10,92,6500.46
DAM,2026-05-10,93,5999.54
DAM,2026-05-10,94,7600.05
DAM,2026-05-10,95,7599.89
DAM,2026-05-10,96,7599.98
DAM,2026-05-11,1,7369.58
DAM,2026-05-11,2,5999.33
DAM,2026-05-11,3,5613.3
DAM,2026-05-11,4,5205.87
DAM,2026-05-11,5,4999.5
DAM,2026-05-11,6,4937.33
